"","Date","Depth","Measurement"
"656",2017-02-12,9,1.5761875
"657",2017-02-12,10,1.6419375
"658",2017-02-12,11,1.6829375
"659",2017-02-12,12,1.7645
"660",2017-02-12,13,1.85225
"661",2017-02-12,14,1.89275
"662",2017-02-12,15,1.913
"663",2017-02-12,16,1.913
"664",2017-02-12,17,1.93325
"665",2017-02-12,18,1.97375
"666",2017-02-12,19,2.0134375
"667",2017-02-12,20,2.0523125
"668",2017-02-12,21,2.0466875
"669",2017-02-12,22,1.9965625
"670",2017-02-12,23,2.06325
"671",2017-02-12,24,2.24675
"672",2017-02-12,25,2.366375
"673",2017-02-12,26,2.422125
"674",2017-02-12,27,2.5345
"675",2017-02-12,28,2.7035
"676",2017-02-13,2,0.9106875
"677",2017-02-13,3,1.18583333333333
"678",2017-02-13,4,1.22683333333333
"679",2017-02-13,5,1.27666666666667
"680",2017-02-13,6,1.34466666666667
"681",2017-02-13,7,1.4255
"682",2017-02-13,8,1.5064375
"683",2017-02-13,9,1.59035416666667
"684",2017-02-13,10,1.64541666666667
"685",2017-02-13,11,1.69475
"686",2017-02-13,12,1.781375
"687",2017-02-13,13,1.864625
"688",2017-02-13,14,1.907375
"689",2017-02-13,15,1.9248125
"690",2017-02-13,16,1.9169375
"691",2017-02-13,17,1.93578125
"692",2017-02-13,18,1.98134375
"693",2017-02-13,19,2.02159375
"694",2017-02-13,20,2.05653125
"695",2017-02-13,21,2.05371875
"696",2017-02-13,22,2.01315625
"697",2017-02-13,23,2.08040625
"698",2017-02-13,24,2.25546875
"699",2017-02-13,25,2.370875
"700",2017-02-13,26,2.426625
"701",2017-02-13,27,2.54638541666667
"702",2017-02-13,28,2.73015625
"703",2017-02-14,2,0.9031875
"704",2017-02-14,3,1.194
"705",2017-02-14,4,1.23725
"706",2017-02-14,5,1.28708333333333
"707",2017-02-14,6,1.35283333333333
"708",2017-02-14,7,1.4294375
"709",2017-02-14,8,1.5109375
"710",2017-02-14,9,1.602
"711",2017-02-14,10,1.6570625
"712",2017-02-14,11,1.6975625
"713",2017-02-14,12,1.7909375
"714",2017-02-14,13,1.878125
"715",2017-02-14,14,1.918625
"716",2017-02-14,15,1.9338125
"717",2017-02-14,16,1.9236875
"718",2017-02-14,17,1.943375
"719",2017-02-14,18,1.992875
"720",2017-02-14,19,2.03171875
"721",2017-02-14,20,2.05990625
"722",2017-02-14,21,2.054
"723",2017-02-14,22,2.014
"724",2017-02-14,23,2.08125
"725",2017-02-14,24,2.25575
"726",2017-02-14,25,2.3748125
"727",2017-02-14,26,2.4384375
"728",2017-02-14,27,2.56040625
"729",2017-02-14,28,2.74071875
"730",2017-02-15,2,0.895854166666667
"731",2017-02-15,3,1.19341666666667
"732",2017-02-15,4,1.24735416666667
"733",2017-02-15,5,1.3024375
"734",2017-02-15,6,1.3575
"735",2017-02-15,7,1.4345
"736",2017-02-15,8,1.5165625
"737",2017-02-15,9,1.6025625
"738",2017-02-15,10,1.657625
"739",2017-02-15,11,1.698125
"740",2017-02-15,12,1.7915
"741",2017-02-15,13,1.87925
"742",2017-02-15,14,1.91975
"743",2017-02-15,15,1.93746875
"744",2017-02-15,16,1.93240625
"745",2017-02-15,17,1.95265625
"746",2017-02-15,18,1.99821875
"747",2017-02-15,19,2.037625
"748",2017-02-15,20,2.070875
"749",2017-02-15,21,2.064125
"750",2017-02-15,22,2.017375
"751",2017-02-15,23,2.084625
"752",2017-02-15,24,2.265875
"753",2017-02-15,25,2.38634375
"754",2017-02-15,26,2.44603125
"755",2017-02-15,27,2.56716666666667
"756",2017-02-15,28,2.74975
"757",2017-02-16,2,0.899229166666667
"758",2017-02-16,3,1.194
"759",2017-02-16,4,1.247375
"760",2017-02-16,5,1.301875
"761",2017-02-16,6,1.3575
"762",2017-02-16,7,1.439
"763",2017-02-16,8,1.525
"764",2017-02-16,9,1.6065
"765",2017-02-16,10,1.6615625
"766",2017-02-16,11,1.7020625
"767",2017-02-16,12,1.7915
"768",2017-02-16,13,1.87925
"769",2017-02-16,14,1.91975
"770",2017-02-16,15,1.93775
"771",2017-02-16,16,1.93325
"772",2017-02-16,17,1.95729166666667
"773",2017-02-16,18,2.009875
"774",2017-02-16,19,2.05153125
"775",2017-02-16,20,2.08226041666667
"776",2017-02-16,21,2.07453125
"777",2017-02-16,22,2.02834375
"778",2017-02-16,23,2.09559375
"779",2017-02-16,24,2.27628125
"780",2017-02-16,25,2.39421875
